feature,importance
complaint_flag_sum,0.23355314458871806
customer_service_calls_sum,0.2329064480630053
payment_delay_days_mean,0.13930867330165012
contract_type_One Year,0.06784842901711628
contract_type_Two Year,0.0660942662356907
tenure_months,0.02367438311767776
tenure_to_age_ratio,0.023488706271913646
international_minutes_sum,0.012129102636288346
bill_cv,0.011784215619185943
call_drop_rate_mean,0.011338485121037224
data_cv,0.010718556937976504
bill_std,0.010344864713875971
call_cv,0.01014222142665181
total_spend,0.00985260567152989
bill_amount_sum,0.009738009487330708
call_mean,0.009674103280736677
call_duration_min_mean,0.009633107468311539
age,0.009137507267239628
call_std,0.009085141005514944
call_duration_min_std,0.008984220935681856
bill_mean,0.008732486094043077
spend_per_active_day,0.008619156254486213
data_mean,0.00826468988256138
data_usage_gb_std,0.008156929934398939
data_usage_gb_mean,0.008155570871480118
data_std,0.007961448469601978
bill_amount_mean,0.007884979507806098
active_days,0.007699799251467086
roaming_flag_sum,0.004361282585533806
days_since_last_activity,0.002377420213695727
region_South,0.0012687943994600201
region_West,0.0011729253686957816
income_tier_Low,0.0010082076951034083
has_dependents,0.00100346927947272
income_tier_Medium,0.000994511322252521
region_North,0.0008818879008065792
has_partner,0.0008431961986967006
senior_citizen,0.0008161378122033054
plan_type_Standard,0.00029521143642171325
plan_type_Premium,6.570335467996417e-05
